NOME,QoE,TempoJogo,UsoCpu,UsoRam,UsoGpu,UsoVram,DelayVideo,DelayComandos,JitterVideo,JitterComandos,PerdaVideo,PerdaComandos,Jogo,TerminoPartida,JogariaNovamente,EstadoEspirito,IDADE,GENERO,CURSO,HORASJOGASEMANA,RESOLUCAO,FREQUENCIA,QUALJAJOGOU,TEMPOQUALJAJOGOU,MOUSEMANETEVR
Player 3,5,3.0,22.0,17.0,19.0,14.0,0,100,0,20,0.0,0.0,FEAR,21.27,,,,,,,,,,,
Player 44,4,,,,,,0,35,0,0,0.0,20.0,Rise of Tomb Raider,22.12,SIM,Indiferente,,,,,,,,,
Player 1,6,3.0,32.0,18.0,24.0,17.0,0,25,0,0,0.0,1.0,FEAR,20.51,,,,,,,,,,,
Player 69,6,4.0,18.0,13.0,8.0,8.0,0,125,0,0,0.0,0.5,Spelunky,,SIM,Indiferente,21.0,M,Engenharia Mecânica,1.0,1080p,60.0,Nenhum,0.0,Manete
Player 1,5,3.0,78.0,22.0,22.0,19.0,50,0,20,0,2.5,0.0,Half-Life 2,22.46,,,,,,,,,,,
Player 3,2,3.0,60.0,17.0,8.0,9.0,100,50,10,25,2.5,2.5,Half-Life 2,19.49,,,,,,,,,,,
Player 74,0,,,,,,40,40,40,40,20.0,20.0,Rise of Tomb Raider,17.0,NAO,Indiferente,,,,,,,,,
Player 3,1,3.0,30.0,14.0,8.0,8.0,150,0,0,0,1.0,0.0,Half-Life 2,16.07,,,,,,,,,,,
Player 5,1,3.0,62.0,25.0,26.0,23.0,150,50,10,10,2.5,2.5,Half-Life 2,17.52,,,,,,,,,,,
Player 1,5,3.0,27.0,14.0,8.0,8.0,50,25,25,0,0.0,0.0,Spelunky,17.35,,,,,,,,,,,
Player 1,1,3.0,32.0,14.0,8.0,8.0,0,100,0,20,0.0,3.0,Half-Life 2,16.54,,,,,,,,,,,
Player 1,6,4.0,30.0,12.0,9.0,9.0,0,100,0,10,0.0,0.0,Spelunky,18.18,,,,,,,,,,,
Player 3,2,3.0,23.0,13.0,5.0,7.0,0,75,0,0,0.0,2.0,Half-Life 2,19.37,,,,,,,,,,,
Player 74,0,,,,,,0,35,0,25,0.0,10.0,Rise of Tomb Raider,16.32,NAO,Indiferente,,,,,,,,,
Player 3,3,3.0,37.0,14.0,9.0,9.0,50,0,5,0,3.0,0.0,Half-Life 2,17.10,,,,,,,,,,,
Player 3,1,3.0,37.0,16.0,9.0,9.0,100,0,15,0,1.5,0.0,Half-Life 2,15.12,,,,,,,,,,,
Player 1,5,3.0,25.0,15.0,7.0,8.0,50,25,25,5,0.0,0.5,Spelunky,18.36,,,,,,,,,,,
Player 1,6,3.0,38.0,14.0,9.0,9.0,75,0,20,0,0.0,0.0,Half-Life 2,16.17,,,,,,,,,,,
Player 5,2,3.0,43.0,15.0,9.0,9.0,0,75,0,10,0.0,1.5,Half-Life 2,16.52,,,,,,,,,,,
Player 1,1,3.0,30.0,12.0,9.0,9.0,125,0,10,0,1.5,0.0,Spelunky,16.44,,,,,,,,,,,
Player 1,6,,,,,,10,15,0,15,1.5,1.5,Spelunky,18.19,SIM,Indiferente,,,,,,,,,
Player 5,2,3.0,74.0,57.0,11.0,10.0,50,125,15,15,0.0,2.0,Half-Life 2,13.23,,,,,,,,,,,
Player 74,4,,,,,,35,0,0,0,20.0,0.0,Rise of Tomb Raider,16.57,SIM,Indiferente,,,,,,,,,
Player 20,5,3.0,39.0,16.0,9.0,9.0,75,50,0,20,2.0,2.0,Half-Life 2,,SIM,Feliz,25.0,M,Ciências da computação,5.0,-1080p,60.0,Half-Life 2,-1.0,Mouse
Player 3,2,3.0,36.0,14.0,8.0,9.0,0,125,0,5,0.0,1.0,Half-Life 2,15.15,,,,,,,,,,,
Player 44,0,,,,,,35,0,30,0,10.0,0.0,Spelunky,22.06,NAO,Indiferente,,,,,,,,,
Player 3,6,3.0,37.0,16.0,9.0,10.0,25,75,10,10,3.0,3.0,Half-Life 2,15.01,,,,,,,,,,,
Player 1,6,3.0,45.0,16.0,24.0,22.0,100,0,20,0,0.0,0.0,Half-Life 2,18.15,,,,,,,,,,,
Player 74,0,,,,,,0,40,0,40,0.0,20.0,Rise of Tomb Raider,16.43,NAO,Indiferente,,,,,,,,,
Player 74,0,,,,,,0,30,0,30,0.0,20.0,Rise of Tomb Raider,16.3,NAO,Indiferente,,,,,,,,,
Player 5,3,3.0,37.0,14.0,9.0,9.0,0,75,0,10,0.0,1.5,Half-Life 2,17.06,,,,,,,,,,,
Player 3,3,3.0,36.0,13.0,9.0,9.0,50,0,15,0,1.0,0.0,Half-Life 2,14.38,,,,,,,,,,,
Player 3,4,3.0,37.0,14.0,8.0,9.0,0,75,0,25,0.0,1.0,Half-Life 2,18.55,,,,,,,,,,,
Player 3,2,3.0,34.0,15.0,8.0,9.0,125,0,10,0,3.0,0.0,Half-Life 2,17.12,,,,,,,,,,,
Player 3,4,3.0,48.0,16.0,37.0,31.0,0,25,0,15,0.0,2.0,Half-Life 2,16.42,,,,,,,,,,,
Player 1,5,,,,,,30,20,0,15,2.0,2.0,Spelunky,18.58,SIM,Indiferente,,,,,,,,,
Player 3,6,3.0,37.0,14.0,9.0,9.0,25,0,10,0,0.0,0.5,Half-Life 2,22.40,,,,,,,,,,,
Player 81,1,,,,,,25,23,12,12,5.0,5.0,Spelunky,13.34,NAO,Indiferente,,,,,,,,,
Player 5,5,,,,,,2,0,25,0,3.0,0.0,Rise of Tomb Raider,13.23,SIM,Indiferente,,,,,,,,,
Player 41,4,4.0,25.0,13.0,7.0,8.0,0,75,0,20,0.0,2.5,Half-Life 2,15.5,SIM,Indiferente,18.0,M,Ensino Médio,5.0,1080p,60.0,Spelunky,8.0,Mouse e Manete
Player 74,3,,,,,,2,0,12,0,10.0,0.0,Rise of Tomb Raider,16.06,SIM,Indiferente,,,,,,,,,
Player 1,0,3.0,31.0,15.0,7.0,8.0,0,150,0,25,0.0,1.5,Half-Life 2,17.17,,,,,,,,,,,
Player 81,5,,,,,,23,2,12,12,3.0,0.0,Spelunky,13.28,SIM,Indiferente,,,,,,,,,
Player 3,0,3.0,34.0,13.0,8.0,9.0,150,0,20,0,2.5,0.0,Half-Life 2,14.46,,,,,,,,,,,
Player 1,6,3.0,42.0,14.0,25.0,21.0,125,0,0,0,0.0,0.0,Half-Life 2,19.28,,,,,,,,,,,
Player 1,6,,,,,,15,15,5,5,0.0,0.0,Spelunky,17.51,SIM,Indiferente,,,,,,,,,
Player 1,3,3.0,10.0,12.0,9.0,9.0,50,0,25,0,0.0,0.0,Spelunky,12.04,,,,,,,,,,,
Player 1,0,3.0,27.0,19.0,21.0,16.0,150,0,15,0,1.0,0.0,FEAR,17.50,,,,,,,,,,,
Player 3,4,3.0,38.0,15.0,9.0,9.0,0,25,0,15,0.0,1.5,Half-Life 2,17.41,,,,,,,,,,,
Player 3,4,3.0,36.0,15.0,8.0,9.0,0,50,0,5,0.0,2.5,Half-Life 2,17.25,,,,,,,,,,,
Player 44,4,,,,,,0,35,0,0,0.0,10.0,Rise of Tomb Raider,19.26,SIM,Indiferente,,,,,,,,,
Player 5,0,3.0,39.0,15.0,9.0,9.0,25,25,15,0,1.5,1.5,Half-Life 2,15.52,,,,,,,,,,,
